"Solution Label","Batch Label","Customer Id","Customer Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int","Internal Std","Date","Time","SD","RSD","IntSD","IntRSD","Act Wgt","Act Vol","DF","NumReps","Replicates",,,
"Lab Control Sample","","","","LCS","Mn 257.610","",0.998388,"mg/L",0.998388,"mg/L",83758.4,"-","08/02/2016","15:40:51",0.00863403,0.864797,"700.71","0.836584",1,1,1,2,83262.9,"",84253.9,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.02067,"mg/L",1.02067,"mg/L",6201.27,"-","08/02/2016","15:40:51",0.00125201,0.122665,"7.3711","0.118864",1,1,1,2,6196.06,"",6206.48,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.980281,"mg/L",0.980281,"mg/L",19999,"-","08/02/2016","15:40:51",0.000334857,0.0341593,"6.5435","0.0327192",1,1,1,2,19994.4,"",20003.6,""
"A00035498001*WP101  ","","","","Samp","Mn 257.610","",0.00700305,"mg/L",0.00700305,"mg/L",1205.01,"-","08/02/2016","15:42:25",0.00032499,4.6407,"27.7491","2.30281",1,1,1,2,1224.63,"",1185.39,""
"A00035498001*WP101  ","","","","Samp","Fe 259.940","",0.0153033,"mg/L",0.0153033,"mg/L",239.725,"-","08/02/2016","15:42:25",0.000652969,4.26686,"3.89973","1.62675",1,1,1,2,242.482,"",236.967,""
"A00035498001*WP101  ","","","","Samp","Al 396.152","",0.0120921,"mg/L",0.0120921,"mg/L",780.203,"-","08/02/2016","15:42:25",0.00151467,12.5262,"30.5352","3.91374",1,1,1,2,801.795,"",758.612,""
"A00035498002*WP111  ","","","","Samp","Mn 257.610","uv",-0.0019422,"mg/L",-0.0019422,"mg/L",441.064,"-","08/02/2016","15:44:01",2.97247E-5,1.53046,"2.53892","0.575636",1,1,1,2,442.859,"u",439.268,"u"
"A00035498002*WP111  ","","","","Samp","Fe 259.940","uv",-0.0226448,"mg/L",-0.0226448,"mg/L",13.0485,"-","08/02/2016","15:44:01",0.00174882,7.72284,"10.4467","80.0611",1,1,1,2,20.4354,"u",5.6615,"u"
"A00035498002*WP111  ","","","","Samp","Al 396.152","",0.00703362,"mg/L",0.00703362,"mg/L",678.22,"-","08/02/2016","15:44:01",0.000315218,4.48159,"6.35567","0.937111",1,1,1,2,682.714,"",673.726,""
"A00035498003*WP112  ","","","","Samp","Mn 257.610","uv",-0.00429837,"mg/L",-0.00429837,"mg/L",239.814,"-","08/02/2016","15:45:36",2.64804E-5,0.616057,"2.2618","0.94315",1,1,1,2,238.214,"u",241.413,"u"
"A00035498003*WP112  ","","","","Samp","Fe 259.940","uv",-0.0244104,"mg/L",-0.0244104,"mg/L",2.50116,"-","08/02/2016","15:45:36",0.000718829,2.94476,"4.294","171.68",1,1,1,2,5.53748,"u",-0.535156,"u"
"A00035498003*WP112  ","","","","Samp","Al 396.152","uv",-0.00850894,"mg/L",-0.00850894,"mg/L",364.784,"-","08/02/2016","15:45:36",0.000702577,8.25692,"14.1691","3.88423",1,1,1,2,354.765,"u",374.803,"u"
"A00035498003*WP112  ","","","","Samp","Mn 257.610","uv",-0.0037978,"mg/L",-0.0037978,"mg/L",282.569,"-","08/02/2016","15:47:12",4.33487E-7,0.0114142,"0.0370299","0.0131047",1,1,1,2,282.595,"u",282.543,"u"
"A00035498003*WP112  ","","","","Samp","Fe 259.940","uv",-0.0240341,"mg/L",-0.0240341,"mg/L",4.74896,"-","08/02/2016","15:47:12",0.00148169,6.16493,"8.85101","186.378",1,1,1,2,11.0076,"u",-1.50964,"u"
"A00035498003*WP112  ","","","","Samp","Al 396.152","uv",-0.00846981,"mg/L",-0.00846981,"mg/L",365.573,"-","08/02/2016","15:47:12",8.04478E-5,0.949819,"1.62241","0.443798",1,1,1,2,366.721,"u",364.426,"u"
"A00035498004*WP114  ","","","","Samp","Mn 257.610","uv",-0.00461389,"mg/L",-0.00461389,"mg/L",212.863,"-","08/02/2016","15:48:47",0.000158459,3.43439,"13.5347","6.3584",1,1,1,2,222.434,"u",203.293,"u"
"A00035498004*WP114  ","","","","Samp","Fe 259.940","uv",-0.024542,"mg/L",-0.024542,"mg/L",1.715,"-","08/02/2016","15:48:47",5.29364E-5,0.215697,"0.316221","18.4386",1,1,1,2,1.49139,"u",1.9386,"u"
"A00035498004*WP114  ","","","","Samp","Al 396.152","uv",-0.0047917,"mg/L",-0.0047917,"mg/L",439.751,"-","08/02/2016","15:48:47",0.00111473,23.2637,"22.481","5.11222",1,1,1,2,455.647,"u",423.854,"u"
"A00035498005*WP115  ","","","","Samp","Mn 257.610","",0.0190375,"mg/L",0.0190375,"mg/L",2232.26,"-","08/02/2016","15:50:22",0.000123141,0.646835,"10.508","0.470735",1,1,1,2,2224.83,"",2239.69,""
"A00035498005*WP115  ","","","","Samp","Fe 259.940","uv",-0.0246012,"mg/L",-0.0246012,"mg/L",1.36127,"-","08/02/2016","15:50:22",0.00166851,6.78221,"9.96699","732.185",1,1,1,2,-5.68646,"u",8.409,"u"
"A00035498005*WP115  ","","","","Samp","Al 396.152","",0.0401743,"mg/L",0.0401743,"mg/L",1346.08,"-","08/02/2016","15:50:22",0.00107458,2.67479,"21.6438","1.60791",1,1,1,2,1361.38,"",1330.77,""
"A00035498006*WP117  ","","","","Samp","Mn 257.610","uv",-0.00106361,"mg/L",-0.00106361,"mg/L",516.108,"-","08/02/2016","15:51:57",8.10017E-5,7.61571,"6.9187","1.34055",1,1,1,2,511.215,"u",521,"u"
"A00035498006*WP117  ","","","","Samp","Fe 259.940","uv",-0.00536058,"mg/L",-0.00536058,"mg/L",116.297,"-","08/02/2016","15:51:57",0.000138219,2.57842,"0.825663","0.709959",1,1,1,2,116.881,"u",115.713,"u"
"A00035498006*WP117  ","","","","Samp","Al 396.152","uv",-0.0154819,"mg/L",-0.0154819,"mg/L",224.159,"-","08/02/2016","15:51:57",0.00118231,7.63673,"23.844","10.6371",1,1,1,2,207.299,"u",241.019,"u"
"A00035498007*WP119  ","","","","Samp","Mn 257.610","uv",-0.00161713,"mg/L",-0.00161713,"mg/L",468.83,"-","08/02/2016","15:53:46",7.30634E-5,4.51809,"6.24066","1.33111",1,1,1,2,473.242,"u",464.417,"u"
"A00035498007*WP119  ","","","","Samp","Fe 259.940","uv",-0.0224147,"mg/L",-0.0224147,"mg/L",14.4228,"-","08/02/2016","15:53:46",0.00107582,4.7996,"6.4265","44.5578",1,1,1,2,9.8786,"u",18.967,"u"
"A00035498007*WP119  ","","","","Samp","Al 396.152","uv",-0.00930055,"mg/L",-0.00930055,"mg/L",348.82,"-","08/02/2016","15:53:46",0.000872631,9.38258,"17.5986","5.04519",1,1,1,2,361.264,"u",336.375,"u"
"A00035498008*WP126  ","","","","Samp","Mn 257.610","",0.000121472,"mg/L",0.000121472,"mg/L",617.331,"-","08/02/2016","15:55:22",2.22599E-5,18.3251,"1.9013","0.307987",1,1,1,2,615.986,"",618.675,""
"A00035498008*WP126  ","","","","Samp","Fe 259.940","",0.00902322,"mg/L",0.00902322,"mg/L",202.217,"-","08/02/2016","15:55:22",0.00067126,7.43925,"4.00933","1.98269",1,1,1,2,205.052,"",199.382,""
"A00035498008*WP126  ","","","","Samp","Al 396.152","",0.225962,"mg/L",0.225962,"mg/L",5077.13,"-","08/02/2016","15:55:22",0.000540944,0.239396,"10.8314","0.213337",1,1,1,2,5084.78,"",5069.47,""
"A00035498009*BPH01  ","","","","Samp","Mn 257.610","",1.28334,"mg/L",1.28334,"mg/L",106711,"-","08/02/2016","15:56:58",0.00748545,0.583278,"598.406","0.56077",1,1,1,2,107135,"",106288,""
"A00035498009*BPH01  ","","","","Samp","Fe 259.940","uv",-0.024643,"mg/L",-0.024643,"mg/L",1.11188,"-","08/02/2016","15:56:58",0.000339843,1.37907,"2.03008","182.582",1,1,1,2,-0.323608,"u",2.54736,"u"
"A00035498009*BPH01  ","","","","Samp","Al 396.152","uv",-0.000858275,"mg/L",-0.000858275,"mg/L",519.077,"-","08/02/2016","15:56:58",0.000132664,15.4571,"2.67547","0.515429",1,1,1,2,520.969,"u",517.186,"u"
"Blank","","","","Blk","Mn 257.610","",0,"mg/L",0,"mg/L",540.647,"-","08/02/2016","15:58:34",0.0,0.0,"3.49548","0.646537",1,1,1,2,538.176,"",543.119,""
"Blank","","","","Blk","Fe 259.940","",0,"mg/L",0,"mg/L",69.5797,"-","08/02/2016","15:58:34",0.0,0.0,"1.30684","1.87819",1,1,1,2,70.5037,"",68.6556,""
"Blank","","","","Blk","Al 396.152","",0,"mg/L",0,"mg/L",474.805,"-","08/02/2016","15:58:34",0.0,0.0,"8.43379","1.77626",1,1,1,2,468.841,"",480.768,""
"Standard 1","","","","Std","Mn 257.610","",0.5,"mg/L",0.5,"mg/L",42139.5,"-","08/02/2016","16:00:09",0.0,0.0,"28.7815","0.0683004",1,1,1,2,42119.2,"",42159.9,""
"Standard 1","","","","Std","Fe 259.940","",0.5,"mg/L",0.5,"mg/L",3057.55,"-","08/02/2016","16:00:09",0.0,0.0,"10.2682","0.335832",1,1,1,2,3064.81,"",3050.29,""
"Standard 1","","","","Std","Al 396.152","",0.5,"mg/L",0.5,"mg/L",10597.7,"-","08/02/2016","16:00:09",0.0,0.0,"22.8581","0.215689",1,1,1,2,10581.5,"",10613.8,""
"Standard 3","","","","Std","Mn 257.610","",1.5,"mg/L",1.5,"mg/L",121488,"-","08/02/2016","16:01:44",0.0,0.0,"3185.11","2.62176",1,1,1,2,119236,"",123740,""
"Standard 3","","","","Std","Fe 259.940","",1.5,"mg/L",1.5,"mg/L",8848.83,"-","08/02/2016","16:01:44",0.0,0.0,"99.738","1.12713",1,1,1,2,8778.3,"",8919.36,""
"Standard 3","","","","Std","Al 396.152","",5,"mg/L",5,"mg/L",93605.7,"-","08/02/2016","16:01:44",0.0,0.0,"25.5553","0.027301",1,1,1,2,93623.8,"",93587.7,""
"Lab Control Sample","","","","LCS","Mn 257.610","",1.01135,"mg/L",1.01135,"mg/L",83479,"-","08/02/2016","16:03:18",0.00339459,0.335649,"271.065","0.32471",1,1,1,2,83670.7,"",83287.3,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.02263,"mg/L",1.02263,"mg/L",6116.96,"-","08/02/2016","16:03:18",0.00499567,0.48851,"29.3256","0.479415",1,1,1,2,6096.22,"",6137.7,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.980096,"mg/L",0.980096,"mg/L",19981.3,"-","08/02/2016","16:03:18",0.00316498,0.322925,"62.0003","0.310292",1,1,1,2,20025.1,"",19937.5,""
"A00035499001*S1     ","","","","Samp","Mn 257.610","uv",-0.00210298,"mg/L",-0.00210298,"mg/L",363.653,"-","08/02/2016","16:04:53",1.0703E-5,0.508944,"0.900802","0.247709",1,1,1,2,363.016,"u",364.29,"u"
"A00035499001*S1     ","","","","Samp","Fe 259.940","",0.0272337,"mg/L",0.0272337,"mg/L",231.776,"-","08/02/2016","16:04:53",0.00103935,3.81641,"6.18887","2.6702",1,1,1,2,227.4,"",236.152,""
"A00035499001*S1     ","","","","Samp","Al 396.152","",0.0149423,"mg/L",0.0149423,"mg/L",776.802,"-","08/02/2016","16:04:53",0.000130157,0.871069,"2.62998","0.338566",1,1,1,2,778.662,"",774.943,""
"A00035499002*S4     ","","","","Samp","Mn 257.610","uv",-0.00211453,"mg/L",-0.00211453,"mg/L",362.681,"-","08/02/2016","16:06:29",0.000417096,19.7252,"35.1044","9.67914",1,1,1,2,387.503,"u",337.858,"u"
"A00035499002*S4     ","","","","Samp","Fe 259.940","",0.0110151,"mg/L",0.0110151,"mg/L",135.19,"-","08/02/2016","16:06:29",7.70464E-5,0.699465,"0.458881","0.339435",1,1,1,2,135.514,"",134.865,""
"A00035499002*S4     ","","","","Samp","Al 396.152","",0.0239368,"mg/L",0.0239368,"mg/L",958.521,"-","08/02/2016","16:06:29",0.00152717,6.38001,"30.8495","3.21845",1,1,1,2,980.335,"",936.707,""
"A00035499003*S5     ","","","","Samp","Mn 257.610","uv",-0.00446848,"mg/L",-0.00446848,"mg/L",164.564,"-","08/02/2016","16:08:05",8.32384E-5,1.86279,"7.00566","4.2571",1,1,1,2,159.61,"u",169.518,"u"
"A00035499003*S5     ","","","","Samp","Fe 259.940","uv",-0.0111855,"mg/L",-0.0111855,"mg/L",2.94928,"-","08/02/2016","16:08:05",0.000137933,1.23314,"0.821649","27.8593",1,1,1,2,2.36829,"u",3.53027,"u"
"A00035499003*S5     ","","","","Samp","Al 396.152","uv",-0.00270248,"mg/L",-0.00270248,"mg/L",420.172,"-","08/02/2016","16:08:05",0.000709543,26.2552,"14.3439","3.41382",1,1,1,2,410.03,"u",430.315,"u"
"A00035499003*S5     ","","","","Samp","Mn 257.610","uv",-0.0046914,"mg/L",-0.0046914,"mg/L",145.802,"-","08/02/2016","16:09:41",2.36424E-5,0.503952,"1.98982","1.36474",1,1,1,2,147.209,"u",144.395,"u"
"A00035499003*S5     ","","","","Samp","Fe 259.940","uv",-0.0120961,"mg/L",-0.0120961,"mg/L",-2.47534,"-","08/02/2016","16:09:41",0.000160524,1.32707,"0.956217","38.6297",1,1,1,2,-3.15149,"u",-1.79919,"u"
"A00035499003*S5     ","","","","Samp","Al 396.152","uv",-0.00757623,"mg/L",-0.00757623,"mg/L",321.646,"-","08/02/2016","16:09:41",0.000437669,5.77687,"8.84781","2.75079",1,1,1,2,327.902,"u",315.389,"u"
"A00035499004*S9     ","","","","Samp","Mn 257.610","uv",-0.00182921,"mg/L",-0.00182921,"mg/L",386.694,"-","08/02/2016","16:11:17",7.6839E-6,0.420066,"0.646707","0.16724",1,1,1,2,387.152,"u",386.237,"u"
"A00035499004*S9     ","","","","Samp","Fe 259.940","uv",-0.00495346,"mg/L",-0.00495346,"mg/L",40.0725,"-","08/02/2016","16:11:17",0.000768543,15.5153,"4.57811","11.4246",1,1,1,2,43.3097,"u",36.8353,"u"
"A00035499004*S9     ","","","","Samp","Al 396.152","uv",-0.00250243,"mg/L",-0.00250243,"mg/L",424.216,"-","08/02/2016","16:11:17",0.0011609,46.3909,"23.4684","5.53218",1,1,1,2,440.811,"u",407.622,"u"
"A00035499005*S11    ","","","","Samp","Mn 257.610","uv",-0.00400158,"mg/L",-0.00400158,"mg/L",203.86,"-","08/02/2016","16:12:53",8.99895E-5,2.24885,"7.57384","3.71522",1,1,1,2,209.215,"u",198.504,"u"
"A00035499005*S11    ","","","","Samp","Fe 259.940","uv",-0.011213,"mg/L",-0.011213,"mg/L",2.78543,"-","08/02/2016","16:12:53",0.000164762,1.46939,"0.981465","35.2356",1,1,1,2,3.47943,"u",2.09143,"u"
"A00035499005*S11    ","","","","Samp","Al 396.152","uv",-0.00674802,"mg/L",-0.00674802,"mg/L",338.389,"-","08/02/2016","16:12:53",0.000315759,4.67928,"6.3833","1.88638",1,1,1,2,342.902,"u",333.875,"u"
"A00035499006*S15    ","","","","Samp","Mn 257.610","uv",-0.00346759,"mg/L",-0.00346759,"mg/L",248.802,"-","08/02/2016","16:14:28",4.63831E-5,1.33762,"3.90377","1.56903",1,1,1,2,246.042,"u",251.563,"u"
"A00035499006*S15    ","","","","Samp","Fe 259.940","",0.0345977,"mg/L",0.0345977,"mg/L",275.623,"-","08/02/2016","16:14:28",0.000943931,2.72831,"5.6201","2.03906",1,1,1,2,279.597,"",271.649,""
"A00035499006*S15    ","","","","Samp","Al 396.152","",0.06893,"mg/L",0.06893,"mg/L",1866.76,"-","08/02/2016","16:14:28",0.000816485,1.18451,"16.4699","0.882274",1,1,1,2,1855.11,"",1878.4,""
"A00035499007*S17    ","","","","Samp","Mn 257.610","uv",-0.00285269,"mg/L",-0.00285269,"mg/L",300.554,"-","08/02/2016","16:16:03",2.31571E-5,0.811761,"1.94899","0.648465",1,1,1,2,299.176,"u",301.932,"u"
"A00035499007*S17    ","","","","Samp","Fe 259.940","",0.00685826,"mg/L",0.00685826,"mg/L",110.431,"-","08/02/2016","16:16:03",0.00173506,25.2988,"10.3345","9.35831",1,1,1,2,117.739,"",103.124,""
"A00035499007*S17    ","","","","Samp","Al 396.152","",0.0066517,"mg/L",0.0066517,"mg/L",609.26,"-","08/02/2016","16:16:03",0.000384497,5.78044,"7.77127","1.27553",1,1,1,2,603.765,"",614.755,""
"A00035499008*S24    ","","","","Samp","Mn 257.610","",0.146234,"mg/L",0.146234,"mg/L",12802.6,"-","08/02/2016","16:17:38",0.00316008,2.16097,"263.994","2.06203",1,1,1,2,12616,"",12989.3,""
"A00035499008*S24    ","","","","Samp","Fe 259.940","uv",-0.0120366,"mg/L",-0.0120366,"mg/L",-2.12064,"-","08/02/2016","16:17:38",0.000110554,0.918483,"0.658554","31.0545",1,1,1,2,-2.5863,"u",-1.65497,"u"
"A00035499008*S24    ","","","","Samp","Al 396.152","uv",-0.0102455,"mg/L",-0.0102455,"mg/L",267.685,"-","08/02/2016","16:17:38",0.00089182,8.70454,"18.0288","6.73508",1,1,1,2,254.937,"u",280.434,"u"
"A00035499009*S24A   ","","","","Samp","Mn 257.610","",0.0124917,"mg/L",0.0124917,"mg/L",1591.66,"-","08/02/2016","16:19:12",5.47843E-5,0.438566,"4.60793","0.289505",1,1,1,2,1588.4,"",1594.92,""
"A00035499009*S24A   ","","","","Samp","Fe 259.940","uv",0.000233537,"mg/L",0.000233537,"mg/L",70.9708,"-","08/02/2016","16:19:12",0.000421886,180.651,"2.51311","3.54105",1,1,1,2,72.7478,"",69.1938,"u"
"A00035499009*S24A   ","","","","Samp","Al 396.152","uv",-0.00976171,"mg/L",-0.00976171,"mg/L",277.465,"-","08/02/2016","16:19:12",5.79111E-5,0.593247,"1.17071","0.421933",1,1,1,2,278.292,"u",276.637,"u"
"Lab Control Sample","","","","LCS","Mn 257.610","",0.969415,"mg/L",0.969415,"mg/L",80126.1,"-","08/02/2016","16:20:46",0.0222305,2.29318,"1779.11","2.22039",1,1,1,2,78868.1,"",81384.1,""
"Lab Control Sample","","","","LCS","Fe 259.940","",0.98729,"mg/L",0.98729,"mg/L",5909.43,"-","08/02/2016","16:20:46",0.0034646,0.35092,"20.3483","0.344336",1,1,1,2,5895.04,"",5923.82,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.975091,"mg/L",0.975091,"mg/L",19883.2,"-","08/02/2016","16:20:46",0.00116431,0.119405,"22.8125","0.114732",1,1,1,2,19899.4,"",19867.1,""
"A00035500001*S27    ","","","","Samp","Mn 257.610","uv",-0.00392992,"mg/L",-0.00392992,"mg/L",209.891,"-","08/02/2016","16:22:21",3.72145E-5,0.946954,"3.1321","1.49225",1,1,1,2,207.677,"u",212.106,"u"
"A00035500001*S27    ","","","","Samp","Fe 259.940","uv",-2.83538E-5,"mg/L",-2.83538E-5,"mg/L",69.4107,"-","08/02/2016","16:22:21",0.00123321,4349.38,"7.34607","10.5835",1,1,1,2,74.6052,"",64.2163,"u"
"A00035500001*S27    ","","","","Samp","Al 396.152","uv",-0.00830308,"mg/L",-0.00830308,"mg/L",306.952,"-","08/02/2016","16:22:21",0.00033364,4.01827,"6.74479","2.19734",1,1,1,2,311.721,"u",302.183,"u"
"A00035500002*MONTEDI","","","","Samp","Mn 257.610","uv",-0.00410256,"mg/L",-0.00410256,"mg/L",195.361,"-","08/02/2016","16:23:55",4.12226E-5,1.0048,"3.46944","1.77591",1,1,1,2,197.814,"u",192.907,"u"
"A00035500002*MONTEDI","","","","Samp","Fe 259.940","uv",-0.00771572,"mg/L",-0.00771572,"mg/L",23.6181,"-","08/02/2016","16:23:55",0.000205545,2.66397,"1.2244","5.18417",1,1,1,2,24.4839,"u",22.7523,"u"
"A00035500002*MONTEDI","","","","Samp","Al 396.152","uv",-0.00601023,"mg/L",-0.00601023,"mg/L",353.304,"-","08/02/2016","16:23:55",0.000160407,2.6689,"3.24275","0.917836",1,1,1,2,351.011,"u",355.597,"u"
"A00035504001*GUW2   ","","","","Samp","Mn 257.610","",0.27883,"mg/L",0.27883,"mg/L",23842.3,"-","08/02/2016","16:25:30",0.00312059,1.11917,"258.93","1.08601",1,1,1,2,23659.2,"",24025.3,""
"A00035504001*GUW2   ","","","","Samp","Fe 259.940","uv",-0.00767494,"mg/L",-0.00767494,"mg/L",23.861,"-","08/02/2016","16:25:30",0.000577032,7.51839,"3.43731","14.4055",1,1,1,2,26.2916,"u",21.4305,"u"
"A00035504001*GUW2   ","","","","Samp","Al 396.152","uv",-0.00579242,"mg/L",-0.00579242,"mg/L",357.707,"-","08/02/2016","16:25:30",0.000754871,13.0321,"15.2603","4.26614",1,1,1,2,346.916,"u",368.498,"u"
"A00035504001*GUW2   ","","","","Samp","Mn 257.610","",0.267677,"mg/L",0.267677,"mg/L",22916.6,"-","08/02/2016","16:27:04",0.00259892,0.970916,"215.768","0.941538",1,1,1,2,22764,"",23069.2,""
"A00035504001*GUW2   ","","","","Samp","Fe 259.940","uv",-0.0120176,"mg/L",-0.0120176,"mg/L",-2.00749,"-","08/02/2016","16:27:04",0.000363572,3.02534,"2.16575","107.883",1,1,1,2,-3.53891,"u",-0.476074,"u"
"A00035504001*GUW2   ","","","","Samp","Al 396.152","uv",-0.0150175,"mg/L",-0.0150175,"mg/L",171.215,"-","08/02/2016","16:27:04",0.000555242,3.6973,"11.2246","6.55588",1,1,1,2,179.152,"u",163.278,"u"
"A00035506001*SA     ","","","","Samp","Mn 257.610","",6.80272E-5,"mg/L",6.80272E-5,"mg/L",546.373,"-","08/02/2016","16:28:38",6.93983E-5,102.016,"5.8408","1.06901",1,1,1,2,542.243,"",550.503,""
"A00035506001*SA     ","","","","Samp","Fe 259.940","",0.52691,"mg/L",0.52691,"mg/L",3196.55,"-","08/02/2016","16:28:38",0.00649571,1.23279,"38.404","1.20142",1,1,1,2,3169.39,"",3223.71,""
"A00035506001*SA     ","","","","Samp","Al 396.152","",0.942037,"mg/L",0.942037,"mg/L",19235.3,"-","08/02/2016","16:28:38",0.00437004,0.463893,"85.7132","0.445605",1,1,1,2,19174.7,"",19295.9,""
"A00035506002*SL     ","","","","Samp","Mn 257.610","",0.00190387,"mg/L",0.00190387,"mg/L",700.877,"-","08/02/2016","16:30:12",0.000240206,12.6167,"20.2147","2.8842",1,1,1,2,715.171,"",686.583,""
"A00035506002*SL     ","","","","Samp","Fe 259.940","",0.469385,"mg/L",0.469385,"mg/L",2856.31,"-","08/02/2016","16:30:12",0.00305624,0.651116,"18.084","0.633127",1,1,1,2,2843.52,"",2869.09,""
"A00035506002*SL     ","","","","Samp","Al 396.152","",0.83679,"mg/L",0.83679,"mg/L",17167.4,"-","08/02/2016","16:30:12",0.00241531,0.28864,"47.5364","0.276898",1,1,1,2,17133.8,"",17201,""
"A00035506003*SB     ","","","","Samp","Mn 257.610","uv",-0.00291062,"mg/L",-0.00291062,"mg/L",295.679,"-","08/02/2016","16:31:46",1.36068E-5,0.467489,"1.14521","0.387315",1,1,1,2,294.869,"u",296.489,"u"
"A00035506003*SB     ","","","","Samp","Fe 259.940","",0.416415,"mg/L",0.416415,"mg/L",2542.76,"-","08/02/2016","16:31:46",0.00172714,0.414763,"10.2273","0.402213",1,1,1,2,2550,"",2535.53,""
"A00035506003*SB     ","","","","Samp","Al 396.152","",0.746971,"mg/L",0.746971,"mg/L",15397.1,"-","08/02/2016","16:31:46",0.00211611,0.283292,"41.769","0.271278",1,1,1,2,15367.6,"",15426.7,""
"A00035506004*BP1    ","","","","Samp","Mn 257.610","uv",-0.00207607,"mg/L",-0.00207607,"mg/L",365.918,"-","08/02/2016","16:33:20",8.41193E-5,4.05186,"7.07979","1.9348",1,1,1,2,360.912,"u",370.924,"u"
"A00035506004*BP1    ","","","","Samp","Fe 259.940","",0.340061,"mg/L",0.340061,"mg/L",2090.38,"-","08/02/2016","16:33:20",0.00365097,1.07362,"21.6432","1.03537",1,1,1,2,2075.08,"",2105.68,""
"A00035506004*BP1    ","","","","Samp","Al 396.152","",0.139357,"mg/L",0.139357,"mg/L",3285.81,"-","08/02/2016","16:33:20",0.000255305,0.183201,"5.13844","0.156382",1,1,1,2,3282.18,"",3289.45,""
"A00035506005*BP2    ","","","","Samp","Mn 257.610","uv",-0.000306532,"mg/L",-0.000306532,"mg/L",514.849,"-","08/02/2016","16:34:54",4.69563E-6,1.53186,"0.395201","0.0767607",1,1,1,2,514.569,"u",515.128,"u"
"A00035506005*BP2    ","","","","Samp","Fe 259.940","",0.360323,"mg/L",0.360323,"mg/L",2210.48,"-","08/02/2016","16:34:54",0.00147729,0.40999,"8.75494","0.396066",1,1,1,2,2204.28,"",2216.67,""
"A00035506005*BP2    ","","","","Samp","Al 396.152","",0.139467,"mg/L",0.139467,"mg/L",3288.02,"-","08/02/2016","16:34:54",0.00213001,1.52725,"42.8697","1.30382",1,1,1,2,3257.7,"",3318.33,""
"A00035506006*BP3    ","","","","Samp","Mn 257.610","uv",-0.00219943,"mg/L",-0.00219943,"mg/L",355.535,"-","08/02/2016","16:36:28",2.71846E-5,1.23598,"2.28795","0.643524",1,1,1,2,353.917,"u",357.153,"u"
"A00035506006*BP3    ","","","","Samp","Fe 259.940","",0.324254,"mg/L",0.324254,"mg/L",1996.66,"-","08/02/2016","16:36:28",0.00263955,0.814039,"15.651","0.783856",1,1,1,2,1985.6,"",2007.73,""
"A00035506006*BP3    ","","","","Samp","Al 396.152","",0.126767,"mg/L",0.126767,"mg/L",3032.36,"-","08/02/2016","16:36:28",0.000265936,0.209784,"5.35457","0.176581",1,1,1,2,3036.14,"",3028.57,""
"Blank","","","","Blk","Mn 257.610","",0,"mg/L",0,"mg/L",536.113,"-","08/02/2016","16:38:03",0.0,0.0,"0.542112","0.101119",1,1,1,2,535.73,"",536.496,""
"Blank","","","","Blk","Fe 259.940","",0,"mg/L",0,"mg/L",78.1529,"-","08/02/2016","16:38:03",0.0,0.0,"1.29785","1.66065",1,1,1,2,79.0707,"",77.2352,""
"Blank","","","","Blk","Al 396.152","",0,"mg/L",0,"mg/L",497.605,"-","08/02/2016","16:38:03",0.0,0.0,"4.29447","0.863028",1,1,1,2,494.569,"",500.642,""
"Standard 1","","","","Std","Mn 257.610","",0.5,"mg/L",0.5,"mg/L",42336.4,"-","08/02/2016","16:39:39",0.0,0.0,"661.733","1.56304",1,1,1,2,41868.5,"",42804.3,""
"Standard 1","","","","Std","Fe 259.940","",0.5,"mg/L",0.5,"mg/L",3013.48,"-","08/02/2016","16:39:39",0.0,0.0,"16.6887","0.553799",1,1,1,2,3001.68,"",3025.29,""
"Standard 1","","","","Std","Al 396.152","",0.5,"mg/L",0.5,"mg/L",10703.3,"-","08/02/2016","16:39:39",0.0,0.0,"9.2939","0.0868324",1,1,1,2,10696.7,"",10709.8,""
"Standard 3","","","","Std","Mn 257.610","",1.5,"mg/L",1.5,"mg/L",119876,"-","08/02/2016","16:41:13",0.0,0.0,"1960.56","1.6355",1,1,1,2,118490,"",121262,""
"Standard 3","","","","Std","Fe 259.940","",1.5,"mg/L",1.5,"mg/L",8793.37,"-","08/02/2016","16:41:13",0.0,0.0,"46.6835","0.530895",1,1,1,2,8826.38,"",8760.35,""
"Standard 3","","","","Std","Al 396.152","",5,"mg/L",5,"mg/L",94353.8,"-","08/02/2016","16:41:13",0.0,0.0,"52.6629","0.0558143",1,1,1,2,94391,"",94316.5,""
"Lab Control Sample","","","","LCS","Mn 257.610","",0.994954,"mg/L",0.994954,"mg/L",81245.1,"-","08/02/2016","16:42:48",0.00801772,0.805838,"633.374","0.779585",1,1,1,2,81692.9,"",80797.2,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.01238,"mg/L",1.01238,"mg/L",6015.78,"-","08/02/2016","16:42:48",0.00272699,0.269364,"15.8764","0.263913",1,1,1,2,6004.56,"",6027.01,""
